dept_no,dept_name,emp_no,title,first_name,last_name,from_date,to_date
d001,Marketing,110022,Senior Staff,Margareta,Markovitch,1985-01-01,9999-01-01
d001,Marketing,98351,Senior Staff,Florina,Setia,1985-02-02,9999-01-01
d001,Marketing,95867,Senior Staff,Shakhar,Meszaros,1985-02-02,9999-01-01
d001,Marketing,430759,Senior Staff,Fumiko,Buchter,1985-02-02,9999-01-01
d001,Marketing,51773,Senior Staff,Eric,Piazza,1985-02-02,9999-01-01
d001,Marketing,480861,Senior Staff,Cedric,Huhdanpaa,1985-02-03,9999-01-01
d001,Marketing,84982,Senior Staff,Gino,Biron,1985-02-03,9999-01-01
d001,Marketing,406815,Senior Staff,Abdelkader,Veldwijk,1985-02-05,9999-01-01
d001,Marketing,37881,Senior Staff,Sedat,Falster,1985-02-05,9999-01-01
d001,Marketing,226382,Senior Staff,Moss,Khasidashvili,1985-02-06,9999-01-01
d001,Marketing,464787,Senior Staff,Tsuneo,Brendel,1985-02-06,9999-01-01
d001,Marketing,281268,Senior Staff,Yinlin,Assaf,1985-02-06,9999-01-01
d001,Marketing,227648,Senior Staff,Sarita,Bale,1985-02-07,9999-01-01
d001,Marketing,462679,Senior Staff,Jinxi,Sichman,1985-02-07,9999-01-01
d001,Marketing,29937,Senior Staff,Lorien,Verhaegen,1985-02-08,9999-01-01
d001,Marketing,225941,Senior Staff,Alenka,Angelopoulos,1985-02-09,9999-01-01
d001,Marketing,470061,Senior Staff,Moheb,Braunmuhl,1985-02-10,9999-01-01
d001,Marketing,403487,Senior Staff,Yahiko,Majewski,1985-02-10,9999-01-01
d001,Marketing,35350,Senior Staff,Takanari,Albarhamtoshy,1985-02-10,9999-01-01
d001,Marketing,48172,Senior Staff,Ayonca,Schahn,1985-02-10,9999-01-01
d001,Marketing,82103,Senior Staff,Magdalena,Larfeldt,1985-02-11,9999-01-01
d001,Marketing,449705,Senior Staff,Ziya,Krichel,1985-02-11,9999-01-01
d001,Marketing,240079,Senior Staff,Stafford,Osgood,1985-02-11,9999-01-01
d001,Marketing,462996,Senior Staff,Rosalyn,Bratten,1985-02-12,9999-01-01
d001,Marketing,278971,Senior Staff,Hauke,Backhouse,1985-02-12,9999-01-01
d001,Marketing,466624,Senior Staff,Jianhao,Matzke,1985-02-13,9999-01-01
d001,Marketing,428081,Senior Staff,Mayuko,Koshiba,1985-02-14,9999-01-01
d001,Marketing,74843,Senior Staff,Yakkov,Fendler,1985-02-14,9999-01-01
d001,Marketing,428347,Senior Staff,Huican,Shigei,1985-02-15,9999-01-01
d001,Marketing,276618,Senior Staff,Margo,Lores,1985-02-15,9999-01-01
d001,Marketing,225957,Senior Staff,Arie,Domenig,1985-02-15,9999-01-01
d001,Marketing,429797,Senior Staff,Branimir,Terwilliger,1985-02-16,9999-01-01
d001,Marketing,63139,Senior Staff,Arra,Birdsall,1985-02-16,9999-01-01
d001,Marketing,224194,Senior Staff,Sorina,Fujisaki,1985-02-17,9999-01-01
d001,Marketing,426119,Senior Staff,Karsten,Herbst,1985-02-18,9999-01-01
d001,Marketing,419038,Senior Staff,Toshimi,Scallan,1985-02-18,9999-01-01
d001,Marketing,429999,Senior Staff,Makato,Flexer,1985-02-18,9999-01-01
d001,Marketing,14554,Senior Staff,Quingbo,Bharadwaj,1985-02-19,9999-01-01
d001,Marketing,252514,Senior Staff,Tsutomu,Kemmerer,1985-02-19,9999-01-01
d001,Marketing,436063,Senior Staff,Youssef,Dredge,1985-02-20,9999-01-01
d001,Marketing,262804,Senior Staff,Yinghua,Mitchem,1985-02-20,9999-01-01
d001,Marketing,50670,Senior Staff,Boguslaw,Snedden,1985-02-20,9999-01-01
d001,Marketing,75549,Senior Staff,King,Schiettecatte,1985-02-21,9999-01-01
d001,Marketing,86901,Senior Staff,Breannda,Tsukuda,1985-02-21,9999-01-01
d001,Marketing,263869,Senior Staff,Hugh,Molenaar,1985-02-21,9999-01-01
d001,Marketing,70716,Senior Staff,Kiyotoshi,Ruemmler,1985-02-22,9999-01-01
d001,Marketing,60197,Senior Staff,Harjit,Comellas,1985-02-22,9999-01-01
d001,Marketing,109519,Senior Staff,Chuanti,Highland,1985-02-22,9999-01-01
d001,Marketing,49134,Senior Staff,Shim,Angiulli,1985-02-23,9999-01-01
d001,Marketing,263035,Senior Staff,Elvis,Milicia,1985-02-23,9999-01-01
d001,Marketing,18079,Senior Staff,Takahito,Ecklund,1985-02-23,9999-01-01
d001,Marketing,43649,Senior Staff,Idoia,Petersohn,1985-02-23,9999-01-01
d001,Marketing,57297,Senior Staff,Tamiya,Benaini,1985-02-24,9999-01-01
d001,Marketing,465788,Senior Staff,Brendon,Lyonns,1985-02-24,9999-01-01
d001,Marketing,99664,Senior Staff,Gen,Jayawardene,1985-02-24,9999-01-01
d001,Marketing,415309,Senior Staff,Remko,Cronau,1985-02-24,9999-01-01
d001,Marketing,282205,Senior Staff,Xiong,Welham,1985-02-25,9999-01-01
d001,Marketing,279568,Senior Staff,Giap,Granlund,1985-02-26,9999-01-01
d001,Marketing,495452,Senior Staff,Moie,Besselaar,1985-02-27,9999-01-01
d001,Marketing,273780,Senior Staff,Oguz,Wroclawski,1985-02-28,9999-01-01
d001,Marketing,90607,Senior Staff,Gina,Kitsuregawa,1985-02-28,9999-01-01
d001,Marketing,484167,Senior Staff,Toshiki,Biros,1985-02-28,9999-01-01
d001,Marketing,252890,Senior Staff,Jiong,Gien,1985-02-28,9999-01-01
d001,Marketing,63291,Senior Staff,Subhrajyoti,Budinsky,1985-03-01,9999-01-01
d001,Marketing,71268,Senior Staff,Remko,Dalphin,1985-03-01,9999-01-01
d001,Marketing,99688,Senior Staff,Christophe,Noriega,1985-03-01,9999-01-01
d001,Marketing,102173,Senior Staff,Sigeru,Delaune,1985-03-01,9999-01-01
d001,Marketing,276454,Senior Staff,Mariangiola,Alpay,1985-03-02,9999-01-01
d001,Marketing,418234,Senior Staff,Joydip,Nitsche,1985-03-02,9999-01-01
d001,Marketing,219532,Senior Staff,Takahiro,Mitsuhashi,1985-03-05,9999-01-01
d001,Marketing,454263,Senior Staff,Kellyn,Mitina,1985-03-05,9999-01-01
d001,Marketing,446448,Senior Staff,Lobel,Gulla,1985-03-06,9999-01-01
d001,Marketing,422961,Senior Staff,Ute,Paludetto,1985-03-06,9999-01-01
d001,Marketing,77411,Senior Staff,Udi,Gaughan,1985-03-06,9999-01-01
d001,Marketing,99933,Senior Staff,Spyrose,Waymire,1985-03-06,9999-01-01
d001,Marketing,290168,Senior Staff,Hirochika,Cairo,1985-03-08,9999-01-01
d001,Marketing,34354,Senior Staff,Kristen,Acton,1985-03-08,9999-01-01
d001,Marketing,216167,Senior Staff,Bedrich,Maccarone,1985-03-09,9999-01-01
d001,Marketing,479051,Senior Staff,Sanjoy,Swen,1985-03-09,9999-01-01
d001,Marketing,75332,Senior Staff,Yefim,Luef,1985-03-10,9999-01-01
d001,Marketing,35418,Senior Staff,Mircea,Unni,1985-03-10,9999-01-01
d001,Marketing,28205,Senior Staff,Mechthild,Ghazalie,1985-03-10,9999-01-01
d001,Marketing,30271,Senior Staff,Reinhard,Bahl,1985-03-11,9999-01-01
d001,Marketing,438353,Senior Staff,Frazer,Pearson,1985-03-11,9999-01-01
d001,Marketing,233523,Senior Staff,Shaowen,Lorcy,1985-03-11,9999-01-01
d001,Marketing,439177,Senior Staff,Aron,Openshaw,1985-03-12,9999-01-01
d001,Marketing,206284,Senior Staff,Satyanarayana,Piancastelli,1985-03-12,9999-01-01
d001,Marketing,78039,Senior Staff,Genki,Heemskerk,1985-03-13,9999-01-01
d001,Marketing,466559,Senior Staff,Taiji,Schade,1985-03-13,9999-01-01
d001,Marketing,283773,Senior Staff,Pranjal,Randi,1985-03-13,9999-01-01
d001,Marketing,95945,Senior Staff,Ottavia,Iwayama,1985-03-13,9999-01-01
d001,Marketing,235180,Senior Staff,Mototsugu,Bade,1985-03-15,9999-01-01
d001,Marketing,52437,Senior Staff,Eckart,Hiyoshi,1985-03-16,9999-01-01
d001,Marketing,212844,Senior Staff,Conrado,Sewelson,1985-03-16,9999-01-01
d001,Marketing,436302,Senior Staff,Ymte,Schurmann,1985-03-17,9999-01-01
d001,Marketing,442114,Senior Staff,Ibibia,Mandell,1985-03-17,9999-01-01
d001,Marketing,485979,Senior Staff,Satyanarayana,Gulla,1985-03-18,9999-01-01
d001,Marketing,299690,Senior Staff,Shigehiro,Worfolk,1985-03-19,9999-01-01
d001,Marketing,95635,Senior Staff,Fumitaka,Mondadori,1985-03-20,9999-01-01
d001,Marketing,71153,Senior Staff,Angel,Zuberek,1985-03-20,9999-01-01
